"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name"
"5573","XLOC_005574",38.0154,46.1182,22.318,1479.85,1665.34,1577.85,"NTN4"
"5574","XLOC_005575",4.4204,2.38542,1.39487,6.0402,5.2042,1.89305,"CCDC38"
"5575","XLOC_005576",15.0293,11.132,16.041,7.24824,12.1431,1.89305,"HAL"
"5576","XLOC_005577",4553.89,4543.44,4563.33,2217.96,2279.44,1843.83,"LTA4H"
"5577","XLOC_005578",664.828,664.738,644.431,2198.63,2419.95,1645.06,"CDK17"
"5578","XLOC_005579",0,0,0,0,0,0,"MIR4303"
"5579","XLOC_005580",40.6676,43.7328,29.2923,44.6975,36.4294,49.2192,"SLC9A7P1"
"5580","XLOC_005581",12.3771,11.132,9.76411,9.66432,1.73473,13.2513,"LOC643770"
"5581","XLOC_005582",114.046,120.861,103.221,107.516,116.227,92.7593,"LOC100128191"
"5582","XLOC_005583",582.608,583.633,574.688,1025.63,945.43,660.673,"IKBIP"
"5583","XLOC_005584",190.077,176.521,206.441,1533,1490.14,1051.59,"ANKS1B"
"5584","XLOC_005585",1007.85,951.784,917.826,1697.3,1904.74,1480.36,"UHRF1BP1L"
"5585","XLOC_005586",221.904,232.976,205.046,159.461,156.126,178.893,"GOLGA2P5"
"5586","XLOC_005587",41.5517,48.5036,39.0564,26.5769,34.6947,33.1283,"DEPDC4"
"5587","XLOC_005588",2.65224,11.132,3.48718,1.20804,0,1.89305,"SLC5A8"
"5588","XLOC_005589",1547.14,1481.35,1502.98,1624.81,1771.16,1359.21,"ARL1"
"5589","XLOC_005590",15.9134,20.6737,9.06667,9.66432,19.0821,8.51871,"SYCP3"
"5590","XLOC_005591",2280.92,2150.86,2182.28,1303.47,1316.66,1089.45,"GNPTAB"
"5591","XLOC_005592",72.4945,72.3578,75.3231,295.97,281.027,247.043,"CCDC53"
"5592","XLOC_005593",998.125,969.277,948.514,1102.94,1216.05,890.679,"NUP37"
"5593","XLOC_005594",182.12,168.57,168.082,199.326,206.433,123.995,"PMCH"
"5594","XLOC_005595",22.9861,27.8299,23.0154,27.7849,20.8168,19.877,"IGF1"
"5595","XLOC_005596",9.72487,11.9271,7.6718,6.0402,12.1431,8.51871,"LINC00485"
