"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name","es_mean","de_mean","xlog2","tstat","p","Bonf_p"
"11915","XLOC_011916",15.9134,13.5174,18.8308,9.66432,6.93893,10.4118,"DNAJC5G",16.0872,9.00501666666667,-0.837112393375329,3.79973912861897,0.0628069428917417,1
"15138","XLOC_015139",33.595,45.323,29.9898,26.5769,17.3473,17.0374,"IL20RB",36.3026,20.3205333333333,-0.837134610424922,2.86039823624205,0.103577898570689,1
"9624","XLOC_009625",4907.52,4522.76,4743.27,2640.77,2676.69,2616.19,"GJC1",4724.51666666667,2644.55,-0.83714449211891,18.4326401444844,0.00293030427429186,1
"2768","XLOC_002768",212.179,199.58,206.441,99.0592,116.227,130.62,"ASB13",206.066666666667,115.302066666667,-0.837692781482431,9.2403679394694,0.0115099294611582,1
"6837","XLOC_006838",75.1467,85.0801,78.8103,43.4894,48.5725,41.647,"SNHG10",79.6790333333333,44.5696333333333,-0.838139052527694,9.85194197476063,0.0101462880479349,1
"17371","XLOC_017372",1176.71,1152.16,1165.42,717.575,692.159,544.251,"OXCT1",1164.76333333333,651.328333333333,-0.838579953820787,9.42034532288105,0.0110815455254444,1
"18353","XLOC_018354",516.302,521.612,527.959,292.346,291.435,291.529,"LYRM4",521.957666666667,291.77,-0.839101249932222,68.0642769373354,0.00021578484523209,1
"12026","XLOC_012027",910.602,916.002,922.011,532.745,483.991,519.641,"CEP68",916.205,512.125666666667,-0.839172570333304,27.0557054567693,0.00136330633808602,1
"20369","XLOC_020370",175.932,145.511,145.067,64.0261,64.1851,132.513,"TRIM56",155.503333333333,86.9080666666667,-0.839383508967526,2.74534051931963,0.111018487631295,1
"3785","XLOC_003785",6.18855,4.77085,4.18462,1.20804,3.46947,3.78609,"ANKK1",5.04800666666667,2.8212,-0.83940487079696,2.21271899797377,0.157395661981553,1
"8030","XLOC_008031",22.9861,17.4931,18.1333,4.83216,5.2042,22.7166,"ELMO3",19.5375,10.9176533333333,-0.839583079987589,1.40159765157207,0.296068392804432,1
"6683","XLOC_006684",1189.09,1233.26,1151.47,646.301,735.527,615.24,"PYGL",1191.27333333333,665.689333333333,-0.839583515769541,12.1919896428384,0.00666031979006789,1
"16217","XLOC_016218",18.5657,31.0105,16.7385,14.4965,12.1431,10.4118,"ALPK1",22.1049,12.3504666666667,-0.839800652149576,2.10336271517207,0.170136140438259,1
"14253","XLOC_014254",60.1174,63.6113,58.5847,39.8653,36.4294,25.5561,"DDTL",60.7711333333333,33.9502666666667,-0.839963290904342,5.87921169164175,0.0277330202512919,1
"7470","XLOC_007471",6104.57,6312.62,6530.8,3846.4,3873.66,2865.13,"SLTM",6315.99666666667,3528.39666666667,-0.839997650247891,7.87870235081845,0.0157306938233583,1
"15881","XLOC_015882",6.18855,7.95141,6.27693,6.0402,3.46947,1.89305,"LOC100131551",6.80563,3.80090666666667,-0.840385119318782,2.24611538046772,0.153765931268745,1
"7215","XLOC_007216",767.381,748.228,776.247,460.263,459.704,359.679,"FAM108C1",763.952,426.548666666667,-0.840771641026944,9.79617554408863,0.0102603589714899,1
"15814","XLOC_015815",130.844,116.886,136,78.5226,79.7977,55.8449,"ARPM1",127.91,71.3884,-0.841367485588707,5.8568275017716,0.027936593198349,1
"7361","XLOC_007362",5131.2,4624.54,4709.09,2864.26,2997.62,2211.08,"ZNF770",4821.61,2690.98666666667,-0.841379719338714,7.36817045638877,0.0179258327641603,1
"17309","XLOC_017310",7.07263,8.74655,10.4615,3.62412,3.46947,7.57219,"C5orf49",8.76022666666667,4.88859333333333,-0.841548802266559,2.33066085007286,0.145077366339951,1
"13100","XLOC_013101",32187.6,31063.8,33055,20516.1,19673.6,13541,"HSPD1",32102.1333333333,17910.2333333333,-0.841885041424206,6.24525591023831,0.0246932048867758,1
"15126","XLOC_015127",159.134,161.414,151.344,68.8582,79.7977,114.529,"TMEM108",157.297333333333,87.7283,-0.842379995527076,4.93365330638668,0.0387130757133948,1
"22475","XLOC_022477",3.53632,5.56599,4.18462,3.62412,0,3.78609,"C9orf24",4.42897666666667,2.47007,-0.842421469317412,1.42651034103003,0.289838985053246,1
"10160","XLOC_010161",57.4652,53.2744,43.2411,37.4492,29.4905,18.9305,"KLHL14",51.3269,28.6234,-0.842520077235161,3.32671766472705,0.0797047915891333,1
"8143","XLOC_008144",55.697,54.0696,58.5847,24.1608,13.8779,55.8449,"CTU2",56.1171,31.2945333333333,-0.842529792936449,1.95486860600537,0.189786078815584,1
"1556","XLOC_001556",129.076,152.667,120.657,66.4422,53.7767,104.118,"PARS2",134.133333333333,74.7789666666667,-0.842963363860766,3.31623078324037,0.0801506035139258,1
"20153","XLOC_020154",210.411,205.942,235.734,136.508,126.636,100.331,"EPDR1",217.362333333333,121.158333333333,-0.843208320227314,6.75869784449295,0.021197829874281,1
